customerid,churn,age,gender,tenure,numofproducts,estimatedsalary
768805383,0,45,Male,39,5,70000
818770008,0,49,Female,44,6,40000
713982108,0,51,Male,36,4,100000
769911858,0,40,Female,34,3,40000
709106358,0,40,Male,21,5,70000
713061558,0,44,Male,36,3,50000
810347208,0,51,Male,46,6,120000
818906208,0,32,Male,27,2,70000
710930508,0,37,Male,36,5,70000
719661558,0,48,Male,36,6,100000
708790833,0,42,Male,31,5,120000
710821833,0,65,Male,54,6,50000
710599683,0,56,Male,36,3,100000
816082233,0,35,Male,30,5,70000
712396908,0,57,Female,48,5,40000
714885258,0,44,Male,37,5,100000
709967358,0,48,Male,36,6,100000
753327333,0,41,Male,34,4,100000
806160108,0,61,Male,56,2,50000
709327383,0,45,Female,37,6,0
806165208,0,47,Male,42,5,70000
708508758,1,62,Female,49,2,40000
784725333,0,41,Male,33,4,50000
811604133,0,47,Female,36,3,40000
789124683,0,54,Male,42,4,100000
771071958,0,41,Female,28,6,40000
720466383,0,59,Male,46,4,50000
804424383,0,63,Male,56,3,70000
718813833,0,44,Female,34,5,0
806624208,0,47,Male,42,6,50000
778348233,0,53,Male,33,3,100000
712991808,0,53,Male,48,2,70000
709029408,0,41,Male,36,4,70000
788658483,0,53,Female,38,5,40000
787937058,0,58,Male,49,6,100000
715318008,0,55,Female,36,4,40000
713962233,0,55,Female,36,6,40000
785432733,0,42,Female,36,2,40000
715190283,0,57,Female,49,3,50000
708300483,1,66,Female,56,5,0
827111283,0,45,Male,41,2,100000
758551608,0,51,Male,44,4,50000
773146383,0,50,Female,43,3,50000
778493808,0,49,Male,37,5,70000
720572508,0,38,Female,28,2,0
712661433,0,49,Male,30,3,100000
789172683,0,56,Male,45,6,70000
738406533,0,59,Male,52,3,50000
799723908,0,46,Male,40,4,100000
771490833,0,52,Male,40,5,100000
720756708,0,52,Female,41,6,40000
779471883,1,54,Female,40,2,40000
711525033,0,66,Female,54,3,40000
712813458,0,49,Male,36,4,120000
714374133,1,56,Male,36,1,120000
717891558,0,49,Female,36,6,40000
716632758,0,49,Female,36,2,40000
768563658,0,56,Male,50,4,50000
711427458,0,44,Female,35,4,0
714091983,0,42,Male,34,4,70000
787584108,0,55,Male,47,4,100000
712030833,1,48,Male,35,2,70000
711481533,0,39,Male,33,5,70000
710082708,0,44,Male,32,2,120000
708155733,0,53,Male,44,4,120000
788979258,0,51,Male,38,4,100000
807986133,0,57,Male,52,5,70000
788730933,0,44,Female,20,6,40000
711314058,0,49,Male,32,2,70000
717975333,0,50,Male,38,6,100000
715971108,0,51,Male,42,3,120000
